Занятость,Цель1,Начало Метро1,Конец Метро1,Цель2,Начало Метро2,Конец Метро2,Цель3,Начало Метро3,Конец Метро3
Работающий (полный рабочий день),На/с работы; учёбы,Ладожская,Чернышевская,В магазин; в гости и т.п.,Ладожская,Ладожская,,,
Работающий (полный рабочий день),Активный отдых (парки; пригороды),Лесная,Девяткино,Активный отдых (парки; пригороды),Лесная,Проспект Просвещения,В магазин; в гости и т.п.,Лесная,Академическая
Работающий (полный рабочий день),На/с работы; учёбы,Автово,Василеостровская,,,,,,
Работающий (полный рабочий день),На/с работы; учёбы,Купчино,Звёздная,,,,,,
Работающий (полный рабочий день),Активный отдых (парки; пригороды),Ленинский проспект,Проспект Ветеранов,,,,,,
Работающий (полный рабочий день),Активный отдых (по городу),Улица Дыбенко,Улица Дыбенко,,,,,,
Работающий (полный рабочий день),Активный отдых (по городу),Василеостровская,Лесная,,,,,,
Работающий (полный рабочий день),На/с работы; учёбы,Купчино,Звёздная,,,,Активный отдых (парки; пригороды),Купчино,Парк Победы
Работающий (полный рабочий день),Активный отдых (парки; пригороды),Купчино,Купчино,Активный отдых (по городу),Купчино,Купчино,,,
Работающий (полный рабочий день),На/с работы; учёбы,Рыбацкое,Звёздная,Активный отдых (по городу),Рыбацкое,Невский проспект,Другое,,
Работающий (полный рабочий день),На/с работы; учёбы,Проспект Ветеранов,Звёздная,Активный отдых (парки; пригороды),Проспект Ветеранов,Автово,,,
Работающий (полный рабочий день),Активный отдых (по городу),Электросила,Московская,Активный отдых (парки; пригороды),Электросила,Купчино,,,
Работающий (полный рабочий день),Активный отдых (по городу),Садовая / Сенная / Спасская,Нарвская,Активный отдых (по городу),Садовая / Сенная / Спасская,Чернышевская,Активный отдых (парки; пригороды),Садовая / Сенная / Спасская,
Работающий (неполный рабочий день),Активный отдых (по городу),Удельная,Невский проспект,Активный отдых (парки; пригороды),Удельная,Крестовский остров,Активный отдых (парки; пригороды),Удельная,Старая Деревня
Работающий (полный рабочий день),Активный отдых (по городу),Проспект Ветеранов,Проспект Ветеранов,Активный отдых (парки; пригороды),,,,,
