Местное время в Санкт-Петербурге,Tемпература,Скорость ветра,Осадки
2014-11-05T21:00:00Z,3.4,1.0, 
2014-11-05T18:00:00Z,3.7,2.0, 
2014-11-05T15:00:00Z,6.9,2.0, 
2014-11-05T12:00:00Z,9.0,3.0, 
2014-11-05T09:00:00Z,7.7,5.0,Состояние неба в общем не изменилось. 
2014-11-05T06:00:00Z,7.6,5.0,Дождь
2014-11-05T03:00:00Z,8.2,3.0, 
2014-11-05T00:00:00Z,9.3,4.0, 
2014-11-04T21:00:00Z,9.5,4.0, 
2014-11-04T18:00:00Z,10.2,4.0, 
2014-11-04T15:00:00Z,10.4,2.0,
2014-11-04T12:00:00Z,9.7,3.0,
2014-11-04T09:00:00Z,9.5,4.0,Морось
2014-11-04T06:00:00Z,8.7,4.0,Морось
2014-11-04T03:00:00Z,8.0,4.0,
2014-11-04T00:00:00Z,7.2,4.0,
2014-11-03T21:00:00Z,6.2,3.0,Состояние неба в общем не изменилось. 
2014-11-03T18:00:00Z,5.8,4.0,Морось
2014-11-03T15:00:00Z,5.7,3.0, 
2014-11-03T12:00:00Z,5.5,3.0, 
2014-11-03T09:00:00Z,5.3,3.0, 
2014-11-03T06:00:00Z,4.9,3.0, 
2014-11-03T03:00:00Z,4.5,3.0,Состояние неба в общем не изменилось. 
2014-11-03T00:00:00Z,3.2,2.0,Морось
2014-11-02T21:00:00Z,2.3,3.0,Морось
2014-11-02T18:00:00Z,1.5,3.0,Снег
2014-11-02T15:00:00Z,1.0,3.0,Снег
2014-11-02T12:00:00Z,0.6,4.0,"Град, ледяной дождь"
2014-11-02T09:00:00Z,-0.4,2.0, 
2014-11-02T06:00:00Z,-0.4,2.0, 
2014-11-02T03:00:00Z,0.4,1.0, 
2014-11-02T00:00:00Z,0.4,1.0, 
2014-11-01T21:00:00Z,0.4,1.0, 
2014-11-01T18:00:00Z,0.3,2.0, 
2014-11-01T15:00:00Z,1.6,2.0, 
2014-11-01T12:00:00Z,0.2,3.0, 
2014-11-01T09:00:00Z,-1.1,2.0, 
2014-11-01T06:00:00Z,0.0,1.0, 
2014-11-01T03:00:00Z,2.2,1.0,Состояние неба в общем не изменилось. 
2014-11-01T00:00:00Z,2.7,2.0,Состояние неба в общем не изменилось. 
2014-10-31T21:00:00Z,3.0,2.0,Снег
2014-10-31T18:00:00Z,2.7,2.0, 
2014-10-31T15:00:00Z,5.2,2.0, 
2014-10-31T12:00:00Z,5.3,3.0, 
2014-10-31T09:00:00Z,5.1,2.0, 
2014-10-31T06:00:00Z,4.8,2.0, 
2014-10-31T03:00:00Z,4.6,2.0, 
2014-10-31T00:00:00Z,5.6,3.0, 
2014-10-30T21:00:00Z,6.0,3.0, 
2014-10-30T18:00:00Z,6.0,1.0, 
2014-10-30T15:00:00Z,8.8,2.0, 
2014-10-30T12:00:00Z,7.0,2.0, 
2014-10-30T09:00:00Z,6.6,1.0, 
2014-10-30T06:00:00Z,6.6,2.0, 
2014-10-30T03:00:00Z,9.0,3.0, 
2014-10-30T00:00:00Z,9.7,5.0, 
2014-10-29T21:00:00Z,10.0,5.0, 
2014-10-29T18:00:00Z,11.8,6.0, 
2014-10-29T15:00:00Z,13.6,5.0, 
2014-10-29T12:00:00Z,11.7,3.0, 
2014-10-29T09:00:00Z,8.6,2.0, 
2014-10-29T06:00:00Z,9.0,4.0, 
2014-10-29T03:00:00Z,10.1,4.0, 
2014-10-29T00:00:00Z,10.1,4.0, 
2014-10-28T21:00:00Z,11.2,5.0,Состояние неба в общем не изменилось. 
2014-10-28T18:00:00Z,10.9,4.0,Слабый дождь
2014-10-28T15:00:00Z,10.7,5.0,Слабый дождь
2014-10-28T12:00:00Z,10.4,5.0,Слабый дождь
2014-10-28T09:00:00Z,10.0,3.0,Морось
2014-10-28T06:00:00Z,9.9,4.0,Морось
2014-10-28T03:00:00Z,10.1,3.0,Морось
2014-10-28T00:00:00Z,9.5,3.0,Морось
2014-10-27T21:00:00Z,8.6,3.0,Морось
2014-10-27T18:00:00Z,8.8,5.0,Состояние неба в общем не изменилось. 
2014-10-27T15:00:00Z,7.3,6.0,Слабый дождь
2014-10-27T12:00:00Z,7.0,3.0, 
2014-10-27T09:00:00Z,5.3,3.0, 
2014-10-27T06:00:00Z,4.0,4.0, 
2014-10-27T03:00:00Z,3.6,3.0,Состояние неба в общем не изменилось. 
2014-10-27T00:00:00Z,3.2,2.0,Состояние неба в общем не изменилось. 
2014-10-26T21:00:00Z,2.3,4.0,Морось
2014-10-26T18:00:00Z,2.3,2.0, 
2014-10-26T15:00:00Z,1.8,3.0, 
2014-10-26T12:00:00Z,1.0,3.0, 
2014-10-26T09:00:00Z,0.2,4.0, 
2014-10-26T06:00:00Z,0.6,3.0, 
2014-10-26T03:00:00Z,0.5,3.0, 
2014-10-26T00:00:00Z,1.1,3.0, 
2014-10-25T21:00:00Z,1.6,3.0, 
2014-10-25T18:00:00Z,2.1,4.0, 
2014-10-25T15:00:00Z,2.2,2.0, 
2014-10-25T12:00:00Z,0.4,3.0, 
2014-10-25T09:00:00Z,-1.7,2.0, 
2014-10-25T06:00:00Z,-1.0,2.0, 
2014-10-25T03:00:00Z,-0.6,3.0, 
2014-10-25T00:00:00Z,0.0,3.0, 
2014-10-24T21:00:00Z,0.2,1.0, 
2014-10-24T18:00:00Z,0.3,1.0, 
2014-10-24T15:00:00Z,1.5,2.0, 
2014-10-24T12:00:00Z,0.6,2.0, 
2014-10-24T09:00:00Z,-2.8,1.0, 
2014-10-24T06:00:00Z,-3.9,0.0, 
2014-10-24T03:00:00Z,-1.9,1.0, 
2014-10-24T00:00:00Z,-0.3,1.0, 
2014-10-23T21:00:00Z,-0.5,1.0, 
2014-10-23T18:00:00Z,-0.2,2.0, 
2014-10-23T15:00:00Z,-0.2,2.0,Состояние неба в общем не изменилось. 
2014-10-23T12:00:00Z,-1.4,1.0,Состояние неба в общем не изменилось. 
2014-10-23T09:00:00Z,-5.0,1.0,Снег
2014-10-23T06:00:00Z,-5.0,1.0,Снег
2014-10-23T03:00:00Z,-3.4,1.0,Снег
2014-10-23T00:00:00Z,-3.4,1.0,Снег
2014-10-22T21:00:00Z,-3.8,2.0,Снег
2014-10-22T18:00:00Z,-4.1,3.0,Снег
2014-10-22T15:00:00Z,-2.6,2.0,Состояние неба в общем не изменилось. 
2014-10-22T12:00:00Z,-2.1,2.0,Снег
2014-10-22T09:00:00Z,-2.5,1.0,Снег
2014-10-22T06:00:00Z,-1.8,1.0, 
2014-10-22T03:00:00Z,-2.0,1.0,Состояние неба в общем не изменилось. 
2014-10-22T00:00:00Z,-0.3,1.0,Снег
2014-10-21T21:00:00Z,0.3,2.0,Снег
2014-10-21T18:00:00Z,0.7,1.0,Состояние неба в общем не изменилось. 
2014-10-21T15:00:00Z,0.4,2.0,Снег
2014-10-21T12:00:00Z,0.6,3.0,Состояние неба в общем не изменилось. 
2014-10-21T09:00:00Z,1.2,2.0,Снег
2014-10-21T06:00:00Z,1.7,2.0, 
2014-10-21T03:00:00Z,2.0,2.0, 
2014-10-21T00:00:00Z,2.4,2.0, 
2014-10-20T21:00:00Z,2.9,2.0,Состояние неба в общем не изменилось. 
2014-10-20T18:00:00Z,2.8,1.0,Морось
2014-10-20T15:00:00Z,3.2,1.0,Состояние неба в общем не изменилось. 
2014-10-20T12:00:00Z,2.7,1.0,Морось
2014-10-20T09:00:00Z,1.6,1.0,Состояние неба в общем не изменилось. 
2014-10-20T06:00:00Z,1.7,1.0,Морось
2014-10-20T03:00:00Z,1.4,2.0,Морось
2014-10-20T00:00:00Z,1.4,1.0,Морось
2014-10-19T21:00:00Z,1.0,1.0,Морось
2014-10-19T18:00:00Z,0.8,3.0,Слабый дождь
2014-10-19T15:00:00Z,0.6,1.0,Снег
2014-10-19T12:00:00Z,0.4,3.0,Снег
2014-10-19T09:00:00Z,0.7,2.0, 
2014-10-19T06:00:00Z,0.9,2.0, 
2014-10-19T03:00:00Z,0.7,2.0, 
2014-10-19T00:00:00Z,-1.0,0.0, 
2014-10-18T21:00:00Z,0.4,0.0, 
2014-10-18T18:00:00Z,1.8,1.0, 
2014-10-18T15:00:00Z,3.8,2.0, 
2014-10-18T12:00:00Z,1.9,1.0, 
2014-10-18T09:00:00Z,-2.2,2.0, 
2014-10-18T06:00:00Z,-2.2,2.0, 
2014-10-18T03:00:00Z,-1.6,1.0, 
2014-10-18T00:00:00Z,-1.5,1.0, 
2014-10-17T21:00:00Z,-0.4,2.0, 
2014-10-17T18:00:00Z,0.7,2.0, 
2014-10-17T15:00:00Z,1.7,2.0, 
2014-10-17T12:00:00Z,1.8,1.0, 
2014-10-17T09:00:00Z,-0.6,1.0, 
2014-10-17T06:00:00Z,-1.2,1.0, 
2014-10-17T03:00:00Z,-1.0,1.0, 
2014-10-17T00:00:00Z,0.4,1.0, 
2014-10-16T21:00:00Z,1.8,2.0, 
2014-10-16T18:00:00Z,3.0,1.0, 
2014-10-16T15:00:00Z,3.8,1.0, 
2014-10-16T12:00:00Z,3.4,1.0, 
2014-10-16T09:00:00Z,0.3,2.0, 
2014-10-16T06:00:00Z,0.9,2.0, 
2014-10-16T03:00:00Z,1.0,1.0, 
2014-10-16T00:00:00Z,2.5,2.0, 
2014-10-15T21:00:00Z,4.9,1.0, 
2014-10-15T18:00:00Z,5.5,2.0, 
2014-10-15T15:00:00Z,7.9,2.0, 
2014-10-15T12:00:00Z,8.5,2.0, 
2014-10-15T09:00:00Z,6.2,1.0, 
2014-10-15T06:00:00Z,6.4,1.0, 
