Местоположения 1,num,Местоположения 2,num2,самая частая трасса
19. ст. метро «Крестовский остров» (Морской просп. 45) ,19, 19. ст. метро «Крестовский остров» (Морской просп. 45),19,1055
24. ст. метро «Горьковская» ,24, 24. ст. метро «Горьковская»,24,502
23. ст. метро «Василеостровская» ,23, 23. ст. метро «Василеостровская»,23,452
29. Кораблестроителей ул. Park Inn ,29, 29. Кораблестроителей ул. Park Inn,29,431
09. Невский просп. 35 ,09, 09. Невский просп. 35,09,422
06. Малая Морская ул. 4/1 лит.А ,06, 06. Малая Морская ул. 4/1 лит.А,06,373
07. Марсово поле 3 ,07, 07. Марсово поле 3,07,338
28. Чернышевского просп 20 ,28, 28. Чернышевского просп 20,28,336
16. ст. метро «Петроградская» (Площадь Льва Толстого) ,16, 16. ст. метро «Петроградская» (Площадь Льва Толстого),16,289
11. Новочеркасский просп. 41/14 ,11, 11. Новочеркасский просп. 41/14,11,260
27. ст. метро «Чкаловская» ,27, 27. ст. метро «Чкаловская»,27,258
15. ул. Комсомола 35 (Площадь Ленина) ,15, 15. ул. Комсомола 35 (Площадь Ленина),15,256
25. ст. метро «Приморская» ,25, 29. Кораблестроителей ул. Park Inn,29,239
04. Загородный просп. 74 ,04, 04. Загородный просп. 74,04,239
25. ст. метро «Приморская» ,25, 25. ст. метро «Приморская»,25,232
20. Сенная площадь 5 ,20, 20. Сенная площадь 5,20,229
01. Вознесенский просп. 1 ,01, 01. Вознесенский просп. 1,01,225
29. Кораблестроителей ул. Park Inn ,29, 25. ст. метро «Приморская»,25,217
26. ст. метро «Спортивная» ,26, 26. ст. метро «Спортивная»,26,211
13. Лиговский просп. 16 (Московский Вокзал) ,13, 13. Лиговский просп. 16 (Московский Вокзал),13,202
05. ст. метро «Лиговский проспект» ,05, 05. ст. метро «Лиговский проспект»,05,190
23. ст. метро «Василеостровская» ,23, 26. ст. метро «Спортивная»,26,184
24. ст. метро «Горьковская» ,24, 07. Марсово поле 3,07,182
16. ст. метро «Петроградская» (Площадь Льва Толстого) ,16, 24. ст. метро «Горьковская»,24,177
12. Площадь Балтийского вокзала ,12, 12. Площадь Балтийского вокзала,12,163
23. ст. метро «Василеостровская» ,23, 25. ст. метро «Приморская»,25,162
"02. Лиговский просп. 153 (ТЦ ""Лиговъ"") ",02," 02. Лиговский просп. 153 (ТЦ ""Лиговъ"")",02,161
26. ст. метро «Спортивная» ,26, 24. ст. метро «Горьковская»,24,152
27. ст. метро «Чкаловская» ,27, 16. ст. метро «Петроградская» (Площадь Льва Толстого),16,148
03. Греческая площадь Автостоянка №12 ,03, 03. Греческая площадь Автостоянка №12,03,147
27. ст. метро «Чкаловская» ,27, 19. ст. метро «Крестовский остров» (Морской просп. 45),19,147
10. Площадь Восстания ,10, 10. Площадь Восстания,10,143
24. ст. метро «Горьковская» ,24, 16. ст. метро «Петроградская» (Площадь Льва Толстого),16,141
24. ст. метро «Горьковская» ,24, 26. ст. метро «Спортивная»,26,139
14. Площадь Искусств 3 ,14, 14. Площадь Искусств 3,14,138
26. ст. метро «Спортивная» ,26, 23. ст. метро «Василеостровская»,23,138
16. ст. метро «Петроградская» (Площадь Льва Толстого) ,16, 27. ст. метро «Чкаловская»,27,137
06. Малая Морская ул. 4/1 лит.А ,06, 09. Невский просп. 35,09,133
25. ст. метро «Приморская» ,25, 23. ст. метро «Василеостровская»,23,133
06. Малая Морская ул. 4/1 лит.А ,06, 23. ст. метро «Василеостровская»,23,132
09. Невский просп. 35 ,09, 06. Малая Морская ул. 4/1 лит.А,06,128
07. Марсово поле 3 ,07, 24. ст. метро «Горьковская»,24,123
19. ст. метро «Крестовский остров» (Морской просп. 45) ,19, 27. ст. метро «Чкаловская»,27,120
09. Невский просп. 35 ,09, 13. Лиговский просп. 16 (Московский Вокзал),13,119
23. ст. метро «Василеостровская» ,23, 06. Малая Морская ул. 4/1 лит.А,06,117
06. Малая Морская ул. 4/1 лит.А ,06, 01. Вознесенский просп. 1,01,116
27. ст. метро «Чкаловская» ,27, 23. ст. метро «Василеостровская»,23,115
24. ст. метро «Горьковская» ,24, 27. ст. метро «Чкаловская»,27,110
01. Вознесенский просп. 1 ,01, 23. ст. метро «Василеостровская»,23,109
29. Кораблестроителей ул. Park Inn ,29, 23. ст. метро «Василеостровская»,23,104
15. ул. Комсомола 35 (Площадь Ленина) ,15, 24. ст. метро «Горьковская»,24,102
23. ст. метро «Василеостровская» ,23, 29. Кораблестроителей ул. Park Inn,29,102
16. ст. метро «Петроградская» (Площадь Льва Толстого) ,16, 19. ст. метро «Крестовский остров» (Морской просп. 45),19,101
13. Лиговский просп. 16 (Московский Вокзал) ,13, 09. Невский просп. 35,09,100
23. ст. метро «Василеостровская» ,23, 27. ст. метро «Чкаловская»,27,98
13. Лиговский просп. 16 (Московский Вокзал) ,13, 05. ст. метро «Лиговский проспект»,05,97
23. ст. метро «Василеостровская» ,23, 01. Вознесенский просп. 1,01,95
07. Марсово поле 3 ,07, 01. Вознесенский просп. 1,01,93
28. Чернышевского просп 20 ,28, 07. Марсово поле 3,07,91
27. ст. метро «Чкаловская» ,27, 24. ст. метро «Горьковская»,24,87
05. ст. метро «Лиговский проспект» ,05, 13. Лиговский просп. 16 (Московский Вокзал),13,87
07. Марсово поле 3 ,07, 09. Невский просп. 35,09,87
19. ст. метро «Крестовский остров» (Морской просп. 45) ,19, 16. ст. метро «Петроградская» (Площадь Льва Толстого),16,87
01. Вознесенский просп. 1 ,01, 06. Малая Морская ул. 4/1 лит.А,06,86
26. ст. метро «Спортивная» ,26, 16. ст. метро «Петроградская» (Площадь Льва Толстого),16,86
08. Невский просп. 177 ,08, 08. Невский просп. 177,08,84
16. ст. метро «Петроградская» (Площадь Льва Толстого) ,16, 23. ст. метро «Василеостровская»,23,84
23. ст. метро «Василеостровская» ,23, 24. ст. метро «Горьковская»,24,83
