Column,Купчино,Звездная,Московская,Проспект Ветеранов,Ленинский проспект,Автово,Кировский Завод,Парк Победы,Электросила,Нарвская,Московские Ворота,Балтийская,Фрунзенская,Технологический Институт,Волковская,Обводный Канал,Звенигородская,Лиговский Проспект,Пушкинская,Площадь Александра Невского,Елизаровская,Ломоносовская,Пролетарская,Обухово,Рыбацкое,Садовая / Сенная / Спасская,Владимирская,Маяковская,Площадь Восстания,Гостинный Двор,Невский Проспект,Адмиралтейская,Чернышевская,Василеостровская,Приморская,Спортивная,Горьковская,Чкаловская,Петроградская,Крестовский Остров,Старая Деревня,Черная Речка,Пионерская,Комендантский Проспект,Площадь Ленина,Выборгская,Лесная,Площадь Мужества,Политехническая,Академическая,Гражданский Проспект,Девяткино,Новочеркасская,Ладожская,Проспект Большевиков,Улица Дыбенко,Удельная,Озерки,Проспект Просвещения,Парнас,Бухарестская,Международная
Купчино,11.820599999999999,0.0,2.7423,1.7819999999999998,0.495,0.0,0.1287,0.0,1.0395,0.9801,3.0987,0.9107999999999999,0.1287,1.1186999999999998,1.1186999999999998,0.0,0.99,0.5643,0.0,1.5344999999999998,0.495,0.0,0.6237,0.495,0.0,0.9801,0.7722,0.7029,0.9107999999999999,0.0,0.4158,1.4751,1.5344999999999998,2.0196,0.0,0.7623,0.0,0.0,0.693,0.0,0.5643,0.0,0.7029,1.6137,1.4751,0.495,0.5643,0.2079,0.9107999999999999,0.7029,0.0,0.495,1.1979,0.7029,0.2079,0.2772,0.0,0.0,1.1979,0.7029,0.99,2.3661
Звездная,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Московская,1.5789,0.0,2.7245999999999992,2.2287,2.0178,0.5243999999999999,0.11969999999999999,0.7124999999999999,0.40469999999999995,0.19379999999999997,1.6586999999999996,0.3249,0.0,1.4534999999999998,0.1482,0.6896999999999999,0.40469999999999995,0.285,0.0,0.8093999999999999,0.40469999999999995,0.11969999999999999,0.0399,0.40469999999999995,0.0399,1.3337999999999999,0.0741,0.9290999999999998,0.7637999999999998,0.0,0.5529,0.6896999999999999,1.2140999999999997,1.6017,0.57,0.0741,0.5243999999999999,0.5243999999999999,1.0487999999999997,0.40469999999999995,0.8378999999999999,0.0,0.0,0.0741,1.2140999999999997,0.11969999999999999,0.40469999999999995,0.0,0.0,0.6440999999999999,0.6896999999999999,0.0,0.8093999999999999,0.0,0.11969999999999999,0.39899999999999997,0.40469999999999995,0.0,0.285,0.0,0.19379999999999997,0.40469999999999995
Проспект Ветеранов,1.3679999999999999,0.0,2.9716,8.2688,1.596,2.2116000000000002,0.5396,0.0988,0.0,0.25839999999999996,1.2388,2.0292,0.38,1.1324,0.0,0.38,0.5396,0.5396,0.0,0.5396,0.38,0.0988,0.8587999999999999,0.0,0.0,1.4364,0.9196,0.0,1.0792,0.0,0.5396,0.76,1.0184,2.622,2.052,0.1596,0.0988,0.0,0.4788,0.0,0.6384,0.0,0.0,0.0,1.2996,1.0792,0.21280000000000002,0.0,0.0,0.5928,0.0,0.0,0.5396,0.0988,0.1596,0.053200000000000004,0.38,0.6384,0.4788,0.0,0.5396,1.026
Ленинский проспект,0.5,0.0,3.5399999999999996,2.1,3.14,3.76,1.04,1.92,0.71,1.7599999999999998,0.0,1.28,0.71,1.21,0.0,0.07,0.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.21,0.71,1.05,0.0,0.41000000000000003,0.0,1.21,0.0,1.69,2.55,0.0,0.71,0.0,0.5,0.71,0.0,0.84,0.0,0.0,0.07,1.5499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.21,0.07,0.63,1.42,0.0,0.13,0.71,0.0,1.21,1.21
Автово,0.0,0.0,0.9476,2.9973,3.8728,13.5342,0.7313,0.6489,1.2463,2.4926,0.2163,1.1639,0.7313,0.7313,0.0,0.515,0.0,0.2163,1.2463,0.7313,1.2463,0.0,0.0,0.0,0.0,0.0,0.9476,0.0,0.0,0.0,1.4626,0.7313,0.8034,3.8728,0.515,0.0,1.03,0.0,0.9991,1.9776,0.7313,0.0,0.0,1.2463,2.3999,1.2463,0.0,0.515,0.515,0.515,0.7313,0.7313,0.0,0.2163,0.0,0.0,0.515,0.0,0.515,0.0,1.4626,0.8652
Кировский Завод,0.065,0.0,0.105,0.355,0.52,0.355,0.0,0.0,0.25,1.17,0.605,0.42,0.0,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.0,0.25,0.0,0.355,0.25,0.42,0.355,0.0,0.355,0.355,0.0,0.355,0.0,0.035,0.0,0.25,0.0,0.605,0.0,0.0,0.42,0.105,0.0,0.0,0.0,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.4849999999999999
Парк Победы,0.0,0.0,0.9750000000000001,0.1014,1.4976,0.4914,0.0,0.0,0.0,0.39,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.5538,0.0,0.1638,0.0,0.0,1.8876,0.39,0.05460000000000001,0.1638,0.0,1.7238,0.5538,0.0,1.4976,0.7566,0.0,0.7176,0.0,0.6552,0.7176,1.2713999999999999,0.0,0.5538,0.0,1.3338,0.10920000000000002,0.5538,0.0,0.39,0.0,0.05460000000000001,0.0,0.0,0.4914,0.0,0.0,0.1014,0.0,0.78,0.1014,1.4976,0.1638
Электросила,0.546,0.0,0.3692,0.0,0.3692,0.6292,0.26,0.0,0.9463999999999999,0.26,0.0,0.0,0.0,0.26,0.0,0.442,0.0,0.0,0.0,0.0,0.0,0.1092,0.26,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.06760000000000001,0.3692,0.26,0.0,0.0,0.26,0.52,0.0,0.0,0.0,0.0,0.0,0.8892,0.1456,0.0,0.0,0.3692,0.0,0.0,0.0,0.0,0.0,0.1092,0.3692,0.3692,0.0,0.1092,0.0,0.3692,0.0,1.2167999999999999
Нарвская,1.3365,0.0,0.45899999999999996,0.45899999999999996,2.376,3.267,3.159,0.675,0.675,0.0,0.0,1.917,0.0,0.28350000000000003,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17550000000000002,0.0,1.1340000000000001,0.0,0.675,1.3365,0.675,2.8755,2.2005,0.0,1.35,0.0,0.0,0.9585,3.5505,0.0,0.28350000000000003,0.675,1.1340000000000001,0.0,0.09450000000000001,0.09450000000000001,0.9585,2.592,0.28350000000000003,0.0,0.9585,0.09450000000000001,0.28350000000000003,1.6335,1.242,0.9585,0.17550000000000002,0.0,0.9585,1.6335
